tradeDate,标的证券代码,标的证券简称,本日融资余额(元),本日融资买入额(元),本日融资偿还额(元),本日融券余量,本日融券卖出量,本日融券偿还量
2026-02-26,561980,芯片设备,105694177,17016111,22260557,0,0,0
2026-02-26,561990,300增强,12769356,121688,793668,0,0,0
2026-02-26,562060,标普红利,7934392,404167,776835,0,0,0
2026-02-26,562310,300成长,21336486,1867214,923468,0,0,0
2026-02-26,562500,机器人,1016994187,143787614,179743994,13455000,0,0
2026-02-26,562510,旅游ETF,11887377,1106926,1348453,0,0,0
2026-02-26,562590,半导材料,23807420,6624667,6368586,0,0,0
2026-02-26,562800,稀有金属,125861972,54532135,33950875,0,0,0
2026-02-26,562880,电池基金,2313198,701833,1312835,0,0,0
2026-02-26,562950,消电50,2641065,602338,1068131,0,0,0
2026-02-26,562970,光伏E,8235710,980484,2219146,0,0,0
2026-02-26,562990,碳中和E,3280060,679342,157419,0,0,0
2026-02-26,563000,中国A50,5370183,785126,466874,0,0,0
2026-02-26,563020,低波红利,115003765,16517177,9423195,0,0,0
2026-02-26,563080,中证A50E,3410442,601035,430644,0,0,0
2026-02-26,563220,A500富国,3127852,276774,1240761,12404900,5170000,0
2026-02-26,563230,卫星ETF,246680810,35659802,39003234,0,0,0
2026-02-26,563300,中证2000,144084119,50660636,87088425,50685200,0,0
2026-02-26,563360,A500基金,112703437,14623575,47909472,0,0,0
2026-02-26,563390,现金基金,2187606,823998,2425887,0,0,0
2026-02-26,563580,现金800,5187706,13074,71785,0,0,0
2026-02-26,563700,红利价值,1602565,86836,572701,0,0,0
2026-02-26,563800,A500龙头,117453372,1153637,868920,0,0,0
2026-02-26,563880,A500添富,384909,57959,682972,0,0,0
2026-02-26,588000,科创50,2233553664,436781664,504315203,91231584,3869000,2674500
2026-02-26,588020,科创50E,14117830,1000989,2470005,0,0,0
2026-02-26,588030,科创指基,108194493,6488246,13026827,0,0,0
2026-02-26,588050,科创ETF,114993552,7837710,9425722,0,0,0
2026-02-26,588060,上证科创,114015483,5855111,6696360,0,0,0
2026-02-26,588080,科创板50,448120167,35104746,53932298,2362700,817800,69700
2026-02-26,588090,科创板,61069773,6023371,8702077,0,0,0
2026-02-26,588120,科100ETF,19360363,3625704,3003449,3465000,0,0
2026-02-26,588170,科创半导,222846611,50218113,54217242,0,0,0
2026-02-26,588180,科创50基,18328620,1212403,1336234,0,0,0
2026-02-26,588190,科创100,92290540,4166882,6193862,0,0,0
2026-02-26,588200,科创芯片,1856977890,157020477,179083566,7555400,15600,0
2026-02-26,588220,科创100F,142572898,7697505,16062990,1342000,0,0
2026-02-26,588230,科创200,81947300,12928234,11636624,0,0,0
2026-02-26,588290,芯片科创,76414271,6744946,7214361,0,0,0
2026-02-26,588300,双创ETF,26514279,3256613,925547,0,0,0
2026-02-26,588330,双创龙头,12417708,1480858,3720648,983900,93100,16100
2026-02-26,588380,创50ETF,29230298,2372369,4009865,0,0,0
2026-02-26,588400,双创50,8855693,885612,521751,0,0,0
2026-02-26,588460,科创增强,25427469,1951474,3124359,0,0,0
2026-02-26,588710,科半导体,77584912,15134270,15990754,0,0,0
2026-02-26,588730,科创AI,51158005,6325670,5332907,0,0,0
2026-02-26,588750,科创芯50,56920327,5697599,3957449,0,0,0
2026-02-26,588760,AI科创,98500506,5935618,8027142,0,0,0
2026-02-26,588780,芯片设计,48688679,6435342,6981713,0,0,0
2026-02-26,588790,科创智能,223401475,18214681,27817988,0,0,0
2026-02-26,588800,科创100C,42393894,2895611,8622006,0,0,0
2026-02-26,588810,科创板芯,5750162,2799198,4746212,0,0,0
2026-02-26,588830,科创新能,36245148,7243558,15136817,0,0,0
2026-02-26,588870,科创50指,4192470,617851,1029695,0,0,0
2026-02-26,588890,科创芯,19262942,2414544,3713500,0,0,0
2026-02-26,588930,科创板AI,41750595,1831631,4404245,670000,0,0
2026-02-26,588990,科芯片,3484375,707223,1570601,0,0,0
2026-02-26,589000,科创综指,16528264,858132,1779935,0,0,0
2026-02-26,589010,科创AI指,12931501,3306548,2430576,0,0,0
2026-02-26,589100,国泰芯片,2309201,801921,847319,0,0,0
2026-02-26,589520,AI科创板,12870977,1663129,2991665,0,0,0
2026-02-26,589560,科创AITF,5301431,2041710,765879,0,0,0
2026-02-26,589680,科创综Z,6890034,2508576,4593055,0,0,0
2026-02-26,589720,科创新药,59312119,9200748,10875821,0,0,0
2026-02-26,589800,科创综合,16540279,1576882,2379272,5520200,0,0
2026-02-26,589850,科创东财,4179177,1566522,1181558,0,0,0
2026-02-26,589950,科100FG,755644,205371,920315,0,0,0
2026-02-26,600000,浦发银行,3513268177,74271952,42175787,401100,10700,2700
2026-02-26,600004,白云机场,434812016,11664464,14277537,273498,61200,600
2026-02-26,600006,东风股份,381356471,6442175,10247023,495400,100,0
2026-02-26,600007,中国国贸,188565853,2976616,3158459,143499,100,100
2026-02-26,600008,首创环保,656439391,57370832,43357064,780500,37900,65000
