tradeDate,证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股/份),融券余量(股/份),融券余额(元),融资融券余额(元)
20260224,000801,四川九洲,67712220,1011751403,17800,276300,4766175,1016517578
20260224,000807,云铝股份,139613161,1429481093,200,111600,3390408,1432871501
20260224,000810,创维数字,11115008,530492003,0,11100,131535,530623538
20260224,000811,冰轮环境,47564267,612777200,15500,173270,3297328,616074528
20260224,000812,陕西金叶,7382303,186857413,1100,162900,721647,187579060
20260224,000813,德展健康,17587232,333111303,156800,417400,1606990,334718293
20260224,000815,美利云,106286591,487721513,0,27000,385020,488106533
20260224,000816,智慧农业,13679080,186229946,0,0,0,186229946
20260224,000818,航锦科技,97140789,707443243,0,51400,1183742,708626985
20260224,000819,岳阳兴长,9625337,388115978,0,16000,268800,388384778
20260224,000822,山东海化,38878932,284133591,6700,22600,149612,284283203
20260224,000823,超声电子,61427344,629029545,0,100,1538,629031083
20260224,000825,太钢不锈,16058000,538818040,1300,272700,1341684,540159724
20260224,000826,启迪环境,1447769,118444682,0,900,2061,118446743
20260224,000828,东莞控股,7188194,293472535,0,21500,233920,293706455
20260224,000829,天音控股,26186703,524852354,1500,12200,130052,524982406
20260224,000830,鲁西化工,34821264,433851987,102500,641400,11545200,445397187
20260224,000831,中国稀土,243941232,2281715058,13000,134300,7762540,2289477598
20260224,000837,秦川机床,23613356,374819244,600,8200,102746,374921990
20260224,000838,财信发展,1652886,66618600,0,0,0,66618600
20260224,000848,承德露露,10168497,256076608,15400,195700,1645837,257722445
20260224,000850,华茂股份,6216030,263722920,0,40100,230976,263953896
20260224,000852,石化机械,35378186,254506389,700,800,6472,254512861
20260224,000858,五 粮 液,194933930,5550874323,35800,709736,74635838,5625510161
20260224,000859,国风新材,179021536,527404937,1300,70000,854000,528258937
20260224,000860,顺鑫农业,12891487,382779488,16000,204690,2953676,385733164
20260224,000863,三湘印象,19904620,384000816,600,1900,11229,384012045
20260224,000868,安凯客车,5852023,214376426,12400,48500,241045,214617471
20260224,000869,张  裕Ａ,1781774,214950641,0,38600,798248,215748889
20260224,000875,电投绿能,155205394,1444011310,216200,595100,4368034,1448379344
20260224,000876,新 希 望,13480728,771463725,28300,560900,4834958,776298683
20260224,000877,天山股份,7330012,330946653,21000,87300,476658,331423311
20260224,000878,云南铜业,258275585,2432379058,28200,580700,13629029,2446008087
20260224,000880,潍柴重机,54800540,367248296,400,40600,1445360,368693656
20260224,000883,湖北能源,16132213,321833702,138800,1016300,4685143,326518845
20260224,000885,城发环境,11378064,183073630,1700,9700,131629,183205259
20260224,000887,中鼎股份,72636899,1397682803,200,42600,911640,1398594443
20260224,000888,峨眉山Ａ,17434821,244096270,0,14900,198915,244295185
20260224,000893,亚钾国际,43988086,674110881,2300,160100,9112892,683223773
20260224,000895,双汇发展,8868439,225760867,2600,640100,16885838,242646705
20260224,000898,鞍钢股份,8085239,305828789,65200,1068000,2691360,308520149
20260224,000899,赣能股份,22149036,232042399,3000,5900,64723,232107122
20260224,000900,现代投资,9428310,274845205,50600,63300,269658,275114863
20260224,000901,航天科技,65164667,1124878033,42700,180859,4742123,1129620156
20260224,000902,新洋丰,26236727,201768222,12900,81600,1465536,203233758
20260224,000905,厦门港务,14467488,444870750,27100,112600,1384980,446255730
20260224,000910,大亚圣象,3972212,199800785,400,7800,60138,199860923
20260224,000912,泸天化,10662118,140685243,0,5500,26455,140711698
20260224,000913,钱江摩托,12097428,191585292,9600,170200,2651716,194237008
20260224,000915,华特达因,3909891,399910185,100,3400,108902,400019087
20260224,000917,电广传媒,367665572,1424906285,223500,551300,6731373,1431637658
20260224,000921,海信家电,16584721,617601005,13600,61900,1476315,619077320
20260224,000922,佳电股份,54570904,407544921,800,4900,76244,407621165
20260224,000923,河钢资源,54768816,564379189,2000,10100,235633,564614822
20260224,000926,福星股份,5479018,409499439,0,18000,40860,409540299
20260224,000927,中国铁物,29753198,353056851,27600,187800,544620,353601471
20260224,000928,中钢国际,27713620,403478569,3900,35800,242724,403721293
20260224,000930,中粮科技,26848670,290312671,137800,216300,1444884,291757555
20260224,000931,中 关 村,8377882,179026251,0,2800,14560,179040811
20260224,000932,华菱钢铁,33751159,561238685,8200,346700,2094068,563332753
20260224,000933,神火股份,75673992,1265380996,19700,226800,6983172,1272364168
20260224,000935,四川双马,57958166,1105532198,1900,22100,616369,1106148567
20260224,000936,华西股份,27144476,396734081,9400,9400,78772,396812853
20260224,000937,冀中能源,9148989,138295920,39100,597900,3384114,141680034
20260224,000938,紫光股份,207863913,3464067065,2400,105200,2678392,3466745457
20260224,000948,南天信息,11890434,321031522,500,17700,304263,321335785
20260224,000950,重药控股,14090344,452795244,12200,108300,635721,453430965
20260224,000951,中国重汽,17636303,327834356,1100,174300,3656814,331491170
20260224,000957,中通客车,21990240,204891640,0,100,1222,204892862
20260224,000958,电投产融,14000338,636303583,13900,653100,4225557,640529140
20260224,000959,首钢股份,16628892,239082211,0,156000,858000,239940211
20260224,000960,锡业股份,317654144,2192147306,13600,150800,5564520,2197711826
20260224,000963,华东医药,37509947,942247953,200,27020,973260,943221213
20260224,000965,天保基建,11058277,181454578,0,4000,16200,181470778
20260224,000966,长源电力,40790026,338799684,29900,697100,3220602,342020286
20260224,000967,盈峰环境,28969464,539146054,18500,150100,1140760,540286814
20260224,000968,蓝焰控股,18223671,222677273,16200,25600,221696,222898969
20260224,000969,安泰科技,60655260,858847727,0,40200,967212,859814939
20260224,000970,中科三环,30840254,960544406,15400,269900,3900055,964444461
20260224,000973,佛塑科技,99722158,627392335,1600,3400,48552,627440887
20260224,000975,山金国际,94724905,1019935427,23300,158948,4881293,1024816720
20260224,000977,浪潮信息,483854662,4325857443,16500,125500,7955445,4333812888
20260224,000980,众泰汽车,17833917,528848807,0,0,0,528848807
20260224,000981,山子高科,147606425,856910613,0,0,0,856910613
20260224,000983,山西焦煤,30287072,877300618,123700,892700,6400659,883701277
20260224,000987,越秀资本,54102616,1131104548,20000,317500,2971800,1134076348
20260224,000988,华工科技,919437750,6060710343,10400,85500,7046910,6067757253
20260224,000990,诚志股份,31943226,541816888,5300,74300,649382,542466270
20260224,000993,闽东电力,14780698,246346693,0,15300,194922,246541615
20260224,000997,新 大 陆,61667419,832783423,300,127000,3261360,836044783
20260224,000998,隆平高科,29052755,480575395,37500,224300,2213841,482789236
20260224,000999,华润三九,43032348,614102611,100,280888,8075530,622178141
20260224,001220,世盟股份,20274852,58944651,0,0,0,58944651
20260224,001221,悍高集团,11275594,63658151,100,11300,810775,64468926
20260224,001233,海安集团,8488210,103047962,0,0,0,103047962
20260224,001239,永达股份,5713541,94933747,0,1400,23436,94957183
20260224,001277,速达股份,6654557,63211997,0,1000,42100,63254097
20260224,001279,强邦新材,3077447,81059318,0,5200,180960,81240278
20260224,001280,中国铀业,136304146,1063725726,0,0,0,1063725726
20260224,001282,三联锻造,4916498,84041809,0,1400,29764,84071573
20260224,001285,瑞立科密,0,144158089,0,0,0,144158089
20260224,001286,陕西能源,31661471,367922681,3000,225100,2271259,370193940
20260224,001287,中电港,56382232,660304478,2400,54300,1318947,661623425
20260224,001289,龙源电力,6521462,86066308,0,1400,22274,86088582
20260224,001306,夏厦精密,16607702,108474222,600,1800,153810,108628032
20260224,001309,德明利,229591960,3922807914,1300,17885,4578381,3927386295
